index,note_name,start_time,duration,velocity,tempo
0,C4,0,4,100,120
1,E4,0,4,100,120
2,G4,0,4,100,120
3,G4,4,4,100,120
4,B4,4,4,100,120
5,D4,4,4,100,120
6,A4,8,4,100,120
7,C4,8,4,100,120
8,E4,8,4,100,120
9,G4,8,4,100,120
10,F4,12,4,100,120
11,G4,12,4,100,120
12,C4,12,4,100,120
13,C4,16,4,100,120
14,E4,16,4,100,120
15,G4,16,4,100,120
16,G4,20,4,100,120
17,B4,20,4,100,120
18,D4,20,4,100,120
19,F4,24,4,100,120
20,A4,24,4,100,120
21,C4,24,4,100,120
22,F4,28,4,100,120
23,G4,28,4,100,120
24,C4,28,4,100,120
