index,note_name,start_time,duration,velocity,tempo
0,A4,0,4,100,120
1,C4,0,4,100,120
2,E4,0,4,100,120
3,G4,0,4,100,120
4,G4,4,4,100,120
5,B4,4,4,100,120
6,D4,4,4,100,120
7,F4,8,4,100,120
8,G4,8,4,100,120
9,C4,8,4,100,120
10,C4,12,4,100,120
11,E4,12,4,100,120
12,G4,12,4,100,120
13,A4,16,4,100,120
14,C4,16,4,100,120
15,E4,16,4,100,120
16,G4,16,4,100,120
17,D4,20,4,100,120
18,G4,20,4,100,120
19,A4,20,4,100,120
20,F4,24,4,100,120
21,G4,24,4,100,120
22,C4,24,4,100,120
23,G4,28,4,100,120
24,B4,28,4,100,120
25,D4,28,4,100,120
